,Loan-yes,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Unnamed: 0_y,Female,Male,Unmarried,Married.1,0Dependents,1Dependents,2Dependents,3Dependents,Graduate,non_grad,Not self_empl,Self_Employed_1,Rural,Semiurban,Urban
0,1,5720,0,110,360,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
1,0,3076,1500,126,360,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
2,0,5000,1800,208,360,1,2,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
3,0,3276,0,78,360,1,4,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
4,0,2165,3422,152,360,1,5,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1
5,0,2226,0,59,360,1,6,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
6,1,3881,0,147,360,0,7,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
7,0,2400,2400,123,360,1,9,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0
8,1,3091,0,90,360,1,10,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
9,0,4666,0,124,360,1,14,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
10,0,5667,0,131,360,1,15,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
11,1,4583,2916,200,360,1,16,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
12,0,3786,333,126,360,1,17,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
13,0,9226,7916,300,360,1,18,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
14,1,1300,3470,100,180,1,19,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
15,1,1888,1620,48,360,1,20,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
16,1,2083,0,28,180,1,21,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1
17,0,3765,0,125,360,1,23,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1
18,1,5400,4380,290,360,1,24,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
19,0,0,24000,148,360,0,25,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
20,0,7500,3750,275,360,1,27,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
21,0,2942,2382,125,180,1,29,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
22,1,2478,0,75,360,1,30,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
23,1,6250,820,192,360,1,31,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
24,1,3268,1683,152,360,1,32,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
25,0,2783,2708,158,360,1,33,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
26,1,2740,1541,101,360,1,34,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
27,0,3150,0,176,360,0,35,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
28,0,2267,2792,90,360,1,37,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1
29,0,5833,0,116,360,1,38,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1
30,1,3643,1963,138,360,1,39,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
31,0,5629,818,100,360,1,40,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
32,0,3644,0,110,360,1,41,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
33,0,1750,2024,90,360,1,42,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
34,0,6500,2600,200,360,1,43,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
