,Loan_ID,Unnamed: 1,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Loan_Status,LoanAmount
0,LP001002,,5849,0.0,360.0,1.0,Y,
1,LP001005,,3000,0.0,360.0,1.0,Y,66.0
2,LP001006,,2583,2358.0,360.0,1.0,Y,120.0
3,LP001008,,6000,0.0,360.0,1.0,Y,141.0
4,LP001011,,5417,4196.0,360.0,1.0,Y,267.0
5,LP001013,,2333,1516.0,360.0,1.0,Y,95.0
6,LP001018,,4006,1526.0,360.0,1.0,Y,168.0
7,LP001024,,3200,700.0,360.0,1.0,Y,70.0
8,LP001027,,2500,1840.0,360.0,1.0,Y,109.0
9,LP001028,,3073,8106.0,360.0,1.0,Y,200.0
10,LP001030,,1299,1086.0,120.0,1.0,Y,17.0
11,LP001032,,4950,0.0,360.0,1.0,Y,125.0
12,LP001034,,3596,0.0,240.0,,Y,100.0
13,LP001041,,2600,3500.0,,1.0,Y,115.0
14,LP001046,,5955,5625.0,360.0,1.0,Y,315.0
15,LP001066,,9560,0.0,360.0,1.0,Y,191.0
16,LP001068,,2799,2253.0,360.0,1.0,Y,122.0
17,LP001073,,4226,1040.0,360.0,1.0,Y,110.0
18,LP001087,,3750,2083.0,360.0,1.0,Y,120.0
19,LP001098,,3500,1667.0,360.0,1.0,Y,114.0
20,LP001106,,2275,2067.0,360.0,1.0,Y,
21,LP001112,,3667,1459.0,360.0,1.0,Y,144.0
22,LP001114,,4166,7210.0,360.0,1.0,Y,184.0
23,LP001116,,3748,1668.0,360.0,1.0,Y,110.0
24,LP001120,,1800,1213.0,360.0,1.0,Y,47.0
25,LP001123,,2400,0.0,360.0,,Y,75.0
26,LP001131,,3941,2336.0,360.0,1.0,Y,134.0
27,LP001136,,4695,0.0,,1.0,Y,96.0
28,LP001137,,3410,0.0,,1.0,Y,88.0
29,LP001138,,5649,0.0,360.0,1.0,Y,44.0
30,LP001144,,5821,0.0,360.0,1.0,Y,144.0
31,LP001151,,4000,2275.0,360.0,1.0,Y,144.0
32,LP001155,,1928,1644.0,360.0,1.0,Y,100.0
33,LP001157,,3086,0.0,360.0,1.0,Y,120.0
34,LP001194,,2708,1167.0,360.0,1.0,Y,97.0
35,LP001195,,2132,1591.0,360.0,1.0,Y,96.0
36,LP001198,,8080,2250.0,360.0,1.0,Y,180.0
37,LP001199,,3357,2859.0,360.0,1.0,Y,144.0
38,LP001205,,2500,3796.0,360.0,1.0,Y,120.0
39,LP001206,,3029,0.0,360.0,1.0,Y,99.0
40,LP001233,,10750,0.0,360.0,1.0,Y,312.0
41,LP001238,,7100,0.0,60.0,1.0,Y,125.0
42,LP001243,,3208,3066.0,360.0,1.0,Y,172.0
43,LP001245,,1875,1875.0,360.0,1.0,Y,97.0
44,LP001248,,3500,0.0,300.0,1.0,Y,81.0
45,LP001253,,5266,1774.0,360.0,1.0,Y,187.0
46,LP001264,,3333,2166.0,360.0,,Y,130.0
47,LP001265,,3846,0.0,360.0,1.0,Y,111.0
48,LP001266,,2395,0.0,360.0,1.0,Y,
49,LP001275,,3988,0.0,240.0,1.0,Y,50.0
50,LP001279,,2366,2531.0,360.0,1.0,Y,136.0
51,LP001280,,3333,2000.0,360.0,,Y,99.0
52,LP001282,,2500,2118.0,360.0,1.0,Y,104.0
53,LP001289,,8566,0.0,360.0,1.0,Y,210.0
54,LP001310,,5695,4167.0,360.0,1.0,Y,175.0
55,LP001316,,2958,2900.0,360.0,1.0,Y,131.0
56,LP001318,,6250,5654.0,180.0,1.0,Y,188.0
57,LP001319,,3273,1820.0,360.0,1.0,Y,81.0
58,LP001322,,4133,0.0,360.0,1.0,Y,122.0
59,LP001325,,3620,0.0,120.0,1.0,Y,25.0
60,LP001327,,2484,2302.0,360.0,1.0,Y,137.0
61,LP001333,,1977,997.0,360.0,1.0,Y,50.0
62,LP001334,,4188,0.0,180.0,1.0,Y,115.0
63,LP001343,,1759,3541.0,360.0,1.0,Y,131.0
64,LP001345,,4288,3263.0,180.0,1.0,Y,133.0
65,LP001349,,4843,3806.0,360.0,1.0,Y,151.0
66,LP001350,,13650,0.0,360.0,1.0,Y,
67,LP001356,,4652,3583.0,360.0,1.0,Y,
68,LP001357,,3816,754.0,360.0,1.0,Y,160.0
69,LP001367,,3052,1030.0,360.0,1.0,Y,100.0
70,LP001369,,11417,1126.0,360.0,1.0,Y,225.0
71,LP001384,,2071,754.0,480.0,1.0,Y,94.0
72,LP001385,,5316,0.0,360.0,1.0,Y,136.0
73,LP001387,,2929,2333.0,360.0,1.0,Y,139.0
74,LP001392,,7451,0.0,360.0,1.0,Y,
75,LP001398,,5050,0.0,360.0,1.0,Y,118.0
76,LP001401,,14583,0.0,180.0,1.0,Y,185.0
77,LP001404,,3167,2283.0,360.0,1.0,Y,154.0
78,LP001405,,2214,1398.0,360.0,,Y,85.0
79,LP001422,,10408,0.0,360.0,1.0,Y,259.0
80,LP001426,,5667,2667.0,360.0,1.0,Y,180.0
81,LP001430,,4166,0.0,360.0,1.0,Y,44.0
82,LP001431,,2137,8980.0,360.0,0.0,Y,137.0
83,LP001432,,2957,0.0,360.0,1.0,Y,81.0
84,LP001439,,4300,2014.0,360.0,1.0,Y,194.0
85,LP001443,,3692,0.0,360.0,,Y,93.0
86,LP001448,,23803,0.0,360.0,1.0,Y,370.0
87,LP001449,,3865,1640.0,360.0,1.0,Y,
88,LP001469,,20166,0.0,480.0,,Y,650.0
89,LP001473,,2014,1929.0,360.0,1.0,Y,74.0
90,LP001478,,2718,0.0,360.0,1.0,Y,70.0
91,LP001482,,3459,0.0,120.0,1.0,Y,25.0
92,LP001487,,4895,0.0,360.0,1.0,Y,102.0
93,LP001491,,3316,3500.0,360.0,1.0,Y,88.0
94,LP001498,,5417,0.0,360.0,1.0,Y,168.0
95,LP001504,,6950,0.0,180.0,1.0,Y,175.0
96,LP001507,,2698,2034.0,360.0,1.0,Y,122.0
97,LP001508,,11757,0.0,180.0,1.0,Y,187.0
98,LP001514,,2330,4486.0,360.0,1.0,Y,100.0
99,LP001516,,14866,0.0,360.0,1.0,Y,70.0
100,LP001518,,1538,1425.0,360.0,1.0,Y,30.0
101,LP001520,,4860,830.0,360.0,1.0,Y,125.0
102,LP001529,,2577,3750.0,360.0,1.0,Y,152.0
103,LP001535,,3254,0.0,360.0,1.0,Y,50.0
104,LP001536,,39999,0.0,180.0,0.0,Y,600.0
105,LP001541,,6000,0.0,360.0,,Y,160.0
106,LP001543,,9538,0.0,360.0,1.0,Y,187.0
107,LP001546,,2980,2083.0,360.0,1.0,Y,120.0
108,LP001552,,4583,5625.0,360.0,1.0,Y,255.0
109,LP001560,,1863,1041.0,360.0,1.0,Y,98.0
110,LP001570,,4167,1447.0,360.0,1.0,Y,158.0
111,LP001572,,9323,0.0,180.0,1.0,Y,75.0
112,LP001574,,3707,3166.0,,1.0,Y,182.0
113,LP001578,,2439,3333.0,360.0,1.0,Y,129.0
114,LP001580,,8000,0.0,360.0,1.0,Y,200.0
115,LP001581,,1820,1769.0,360.0,1.0,Y,95.0
116,LP001585,,51763,0.0,300.0,1.0,Y,700.0
117,LP001594,,5708,5625.0,360.0,1.0,Y,187.0
118,LP001606,,3497,1964.0,360.0,1.0,Y,116.0
119,LP001608,,2045,1619.0,360.0,1.0,Y,101.0
120,LP001616,,3750,0.0,360.0,1.0,Y,116.0
121,LP001636,,4600,0.0,180.0,1.0,Y,73.0
122,LP001639,,3625,0.0,360.0,1.0,Y,108.0
123,LP001640,,39147,4750.0,360.0,1.0,Y,120.0
124,LP001643,,2383,2138.0,360.0,,Y,58.0
125,LP001644,,674,5296.0,360.0,1.0,Y,168.0
