,Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
1,LP001003,4583,1508.0,128.0,360.0,1.0
2,LP001005,3000,0.0,66.0,360.0,1.0
3,LP001006,2583,2358.0,120.0,360.0,1.0
4,LP001008,6000,0.0,141.0,360.0,1.0
5,LP001011,5417,4196.0,267.0,360.0,1.0
6,LP001013,2333,1516.0,95.0,360.0,1.0
7,LP001014,3036,2504.0,158.0,360.0,0.0
8,LP001018,4006,1526.0,168.0,360.0,1.0
9,LP001020,12841,10968.0,349.0,360.0,1.0
10,LP001024,3200,700.0,70.0,360.0,1.0
12,LP001028,3073,8106.0,200.0,360.0,1.0
13,LP001029,1853,2840.0,114.0,360.0,1.0
14,LP001030,1299,1086.0,17.0,120.0,1.0
15,LP001032,4950,0.0,125.0,360.0,1.0
17,LP001036,3510,0.0,76.0,360.0,0.0
18,LP001038,4887,0.0,133.0,360.0,1.0
20,LP001043,7660,0.0,104.0,360.0,0.0
21,LP001046,5955,5625.0,315.0,360.0,1.0
22,LP001047,2600,1911.0,116.0,360.0,0.0
25,LP001066,9560,0.0,191.0,360.0,1.0
26,LP001068,2799,2253.0,122.0,360.0,1.0
27,LP001073,4226,1040.0,110.0,360.0,1.0
28,LP001086,1442,0.0,35.0,360.0,1.0
31,LP001095,3167,0.0,74.0,360.0,1.0
32,LP001097,4692,0.0,106.0,360.0,1.0
33,LP001098,3500,1667.0,114.0,360.0,1.0
34,LP001100,12500,3000.0,320.0,360.0,1.0
37,LP001112,3667,1459.0,144.0,360.0,1.0
38,LP001114,4166,7210.0,184.0,360.0,1.0
39,LP001116,3748,1668.0,110.0,360.0,1.0
40,LP001119,3600,0.0,80.0,360.0,1.0
41,LP001120,1800,1213.0,47.0,360.0,1.0
43,LP001131,3941,2336.0,134.0,360.0,1.0
46,LP001138,5649,0.0,44.0,360.0,1.0
47,LP001144,5821,0.0,144.0,360.0,1.0
48,LP001146,2645,3440.0,120.0,360.0,0.0
49,LP001151,4000,2275.0,144.0,360.0,1.0
50,LP001155,1928,1644.0,100.0,360.0,1.0
51,LP001157,3086,0.0,120.0,360.0,1.0
52,LP001164,4230,0.0,112.0,360.0,1.0
53,LP001179,4616,0.0,134.0,360.0,1.0
54,LP001186,11500,0.0,286.0,360.0,0.0
55,LP001194,2708,1167.0,97.0,360.0,1.0
56,LP001195,2132,1591.0,96.0,360.0,1.0
57,LP001197,3366,2200.0,135.0,360.0,1.0
58,LP001198,8080,2250.0,180.0,360.0,1.0
59,LP001199,3357,2859.0,144.0,360.0,1.0
60,LP001205,2500,3796.0,120.0,360.0,1.0
61,LP001206,3029,0.0,99.0,360.0,1.0
62,LP001207,2609,3449.0,165.0,180.0,0.0
64,LP001222,4166,0.0,116.0,360.0,0.0
65,LP001225,5726,4595.0,258.0,360.0,1.0
66,LP001228,3200,2254.0,126.0,180.0,0.0
67,LP001233,10750,0.0,312.0,360.0,1.0
68,LP001238,7100,0.0,125.0,60.0,1.0
69,LP001241,4300,0.0,136.0,360.0,0.0
70,LP001243,3208,3066.0,172.0,360.0,1.0
71,LP001245,1875,1875.0,97.0,360.0,1.0
72,LP001248,3500,0.0,81.0,300.0,1.0
74,LP001253,5266,1774.0,187.0,360.0,1.0
75,LP001255,3750,0.0,113.0,480.0,1.0
76,LP001256,3750,4750.0,176.0,360.0,1.0
77,LP001259,1000,3022.0,110.0,360.0,1.0
78,LP001263,3167,4000.0,180.0,300.0,0.0
80,LP001265,3846,0.0,111.0,360.0,1.0
82,LP001267,1378,1881.0,167.0,360.0,1.0
84,LP001275,3988,0.0,50.0,240.0,1.0
85,LP001279,2366,2531.0,136.0,360.0,1.0
87,LP001282,2500,2118.0,104.0,360.0,1.0
88,LP001289,8566,0.0,210.0,360.0,1.0
89,LP001310,5695,4167.0,175.0,360.0,1.0
90,LP001316,2958,2900.0,131.0,360.0,1.0
91,LP001318,6250,5654.0,188.0,180.0,1.0
92,LP001319,3273,1820.0,81.0,360.0,1.0
93,LP001322,4133,0.0,122.0,360.0,1.0
94,LP001325,3620,0.0,25.0,120.0,1.0
96,LP001327,2484,2302.0,137.0,360.0,1.0
97,LP001333,1977,997.0,50.0,360.0,1.0
98,LP001334,4188,0.0,115.0,180.0,1.0
99,LP001343,1759,3541.0,131.0,360.0,1.0
100,LP001345,4288,3263.0,133.0,180.0,1.0
101,LP001349,4843,3806.0,151.0,360.0,1.0
105,LP001367,3052,1030.0,100.0,360.0,1.0
106,LP001369,11417,1126.0,225.0,360.0,1.0
108,LP001379,3800,3600.0,216.0,360.0,0.0
109,LP001384,2071,754.0,94.0,480.0,1.0
110,LP001385,5316,0.0,136.0,360.0,1.0
115,LP001401,14583,0.0,185.0,180.0,1.0
116,LP001404,3167,2283.0,154.0,360.0,1.0
118,LP001421,5568,2142.0,175.0,360.0,1.0
119,LP001422,10408,0.0,259.0,360.0,1.0
121,LP001430,4166,0.0,44.0,360.0,1.0
122,LP001431,2137,8980.0,137.0,360.0,0.0
123,LP001432,2957,0.0,81.0,360.0,1.0
124,LP001439,4300,2014.0,194.0,360.0,1.0
128,LP001451,10513,3850.0,160.0,180.0,0.0
131,LP001473,2014,1929.0,74.0,360.0,1.0
132,LP001478,2718,0.0,70.0,360.0,1.0
133,LP001482,3459,0.0,25.0,120.0,1.0
134,LP001487,4895,0.0,102.0,360.0,1.0
135,LP001488,4000,7750.0,290.0,360.0,1.0
136,LP001489,4583,0.0,84.0,360.0,1.0
137,LP001491,3316,3500.0,88.0,360.0,1.0
138,LP001492,14999,0.0,242.0,360.0,0.0
139,LP001493,4200,1430.0,129.0,360.0,1.0
140,LP001497,5042,2083.0,185.0,360.0,1.0
141,LP001498,5417,0.0,168.0,360.0,1.0
142,LP001504,6950,0.0,175.0,180.0,1.0
143,LP001507,2698,2034.0,122.0,360.0,1.0
144,LP001508,11757,0.0,187.0,180.0,1.0
145,LP001514,2330,4486.0,100.0,360.0,1.0
146,LP001516,14866,0.0,70.0,360.0,1.0
147,LP001518,1538,1425.0,30.0,360.0,1.0
148,LP001519,10000,1666.0,225.0,360.0,1.0
149,LP001520,4860,830.0,125.0,360.0,1.0
150,LP001528,6277,0.0,118.0,360.0,0.0
151,LP001529,2577,3750.0,152.0,360.0,1.0
152,LP001531,9166,0.0,244.0,360.0,1.0
153,LP001532,2281,0.0,113.0,360.0,1.0
154,LP001535,3254,0.0,50.0,360.0,1.0
155,LP001536,39999,0.0,600.0,180.0,0.0
157,LP001543,9538,0.0,187.0,360.0,1.0
159,LP001552,4583,5625.0,255.0,360.0,1.0
160,LP001560,1863,1041.0,98.0,360.0,1.0
161,LP001562,7933,0.0,275.0,360.0,1.0
162,LP001565,3089,1280.0,121.0,360.0,0.0
163,LP001570,4167,1447.0,158.0,360.0,1.0
164,LP001572,9323,0.0,75.0,180.0,1.0
166,LP001577,4583,0.0,112.0,360.0,1.0
167,LP001578,2439,3333.0,129.0,360.0,1.0
168,LP001579,2237,0.0,63.0,480.0,0.0
169,LP001580,8000,0.0,200.0,360.0,1.0
172,LP001586,3522,0.0,81.0,180.0,1.0
173,LP001594,5708,5625.0,187.0,360.0,1.0
174,LP001603,4344,736.0,87.0,360.0,1.0
175,LP001606,3497,1964.0,116.0,360.0,1.0
176,LP001608,2045,1619.0,101.0,360.0,1.0
177,LP001610,5516,11300.0,495.0,360.0,0.0
178,LP001616,3750,0.0,116.0,360.0,1.0
179,LP001630,2333,1451.0,102.0,480.0,0.0
180,LP001633,6400,7250.0,180.0,360.0,0.0
182,LP001636,4600,0.0,73.0,180.0,1.0
