,Gender_Female,Gender_Male,Gender_nan,Married_No,Married_Yes,Married_nan,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Dependents_nan,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Self_Employed_nan,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
2,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
3,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
5,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
6,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
7,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
8,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
9,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
10,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
11,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
12,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
13,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
14,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
15,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
16,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
17,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
18,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
19,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
20,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
21,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
22,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
23,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
24,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
25,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
26,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
27,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
28,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
29,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
30,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
31,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
32,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
33,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
34,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
35,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
36,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
37,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
38,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
39,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
40,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
41,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
42,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
43,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
44,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
