,Unnamed: 0_x,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Unnamed: 0_y,Gender_0,Gender_1,Married_0,Married_1,Dependents_0,Dependents_1,Dependents_2,Dependents_3,Education_0,Education_1,Self_Employed_0,Self_Employed_1,Property_Area_0,Property_Area_1,Property_Area_2,Loan_Status_0,Loan_Status_1
0,0,LP001015,Male,Yes,0,Graduate,No,5720,0,110.0,360.0,1.0,Urban,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
1,1,LP001022,Male,Yes,1,Graduate,No,3076,1500,126.0,360.0,1.0,Urban,2,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1
2,2,LP001031,Male,Yes,2,Graduate,No,5000,1800,208.0,360.0,1.0,Urban,3,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1
3,4,LP001051,Male,No,0,Not Graduate,No,3276,0,78.0,360.0,1.0,Urban,4,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
4,5,LP001054,Male,Yes,0,Not Graduate,Yes,2165,3422,152.0,360.0,1.0,Urban,5,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
5,6,LP001055,Female,No,1,Not Graduate,No,2226,0,59.0,360.0,1.0,Semiurban,6,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1
6,7,LP001056,Male,Yes,2,Not Graduate,No,3881,0,147.0,360.0,0.0,Rural,7,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0
7,9,LP001067,Male,No,0,Not Graduate,No,2400,2400,123.0,360.0,1.0,Semiurban,8,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
8,10,LP001078,Male,No,0,Not Graduate,No,3091,0,90.0,360.0,1.0,Urban,9,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
9,14,LP001096,Female,No,0,Graduate,No,4666,0,124.0,360.0,1.0,Semiurban,10,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
10,15,LP001099,Male,No,1,Graduate,No,5667,0,131.0,360.0,1.0,Urban,12,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
11,16,LP001105,Male,Yes,2,Graduate,No,4583,2916,200.0,360.0,1.0,Urban,13,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
12,17,LP001107,Male,Yes,3+,Graduate,No,3786,333,126.0,360.0,1.0,Semiurban,14,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
13,18,LP001108,Male,Yes,0,Graduate,No,9226,7916,300.0,360.0,1.0,Urban,15,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
14,19,LP001115,Male,No,0,Graduate,No,1300,3470,100.0,180.0,1.0,Semiurban,17,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0
15,20,LP001121,Male,Yes,1,Not Graduate,No,1888,1620,48.0,360.0,1.0,Urban,18,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0
16,21,LP001124,Female,No,3+,Not Graduate,No,2083,0,28.0,180.0,1.0,Urban,20,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0
17,23,LP001135,Female,No,0,Not Graduate,No,3765,0,125.0,360.0,1.0,Urban,21,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
18,24,LP001149,Male,Yes,0,Graduate,No,5400,4380,290.0,360.0,1.0,Urban,22,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
19,25,LP001153,Male,No,0,Graduate,No,0,24000,148.0,360.0,0.0,Rural,25,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1
20,27,LP001169,Male,Yes,0,Graduate,No,7500,3750,275.0,360.0,1.0,Urban,26,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
21,29,LP001176,Male,No,0,Graduate,No,2942,2382,125.0,180.0,1.0,Urban,27,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
22,30,LP001177,Female,No,0,Not Graduate,No,2478,0,75.0,360.0,1.0,Semiurban,28,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
23,31,LP001183,Male,Yes,2,Graduate,No,6250,820,192.0,360.0,1.0,Urban,31,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0
24,32,LP001185,Male,No,0,Graduate,No,3268,1683,152.0,360.0,1.0,Semiurban,32,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0
25,33,LP001187,Male,Yes,0,Graduate,No,2783,2708,158.0,360.0,1.0,Urban,33,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
26,34,LP001190,Male,Yes,0,Graduate,No,2740,1541,101.0,360.0,1.0,Urban,34,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
27,35,LP001203,Male,No,0,Graduate,No,3150,0,176.0,360.0,0.0,Semiurban,37,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
28,37,LP001210,Male,Yes,0,Graduate,Yes,2267,2792,90.0,360.0,1.0,Urban,38,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
29,38,LP001211,Male,No,0,Graduate,Yes,5833,0,116.0,360.0,1.0,Urban,39,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1
30,39,LP001219,Male,No,0,Graduate,No,3643,1963,138.0,360.0,1.0,Urban,40,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0
31,40,LP001220,Male,Yes,0,Graduate,No,5629,818,100.0,360.0,1.0,Urban,41,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
32,41,LP001221,Female,No,0,Graduate,No,3644,0,110.0,360.0,1.0,Urban,43,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
33,42,LP001226,Male,Yes,0,Not Graduate,No,1750,2024,90.0,360.0,1.0,Semiurban,46,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
34,43,LP001230,Male,No,0,Graduate,No,6500,2600,200.0,360.0,1.0,Semiurban,47,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1
35,44,LP001231,Female,No,0,Graduate,No,3666,0,84.0,360.0,1.0,Urban,48,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0
36,47,LP001242,Male,No,0,Not Graduate,No,2356,1902,108.0,360.0,1.0,Semiurban,49,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1
37,49,LP001270,Male,Yes,3+,Not Graduate,Yes,8000,250,187.0,360.0,1.0,Semiurban,50,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1
38,50,LP001284,Male,Yes,1,Graduate,No,2419,1707,124.0,360.0,1.0,Urban,51,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1
39,52,LP001291,Male,Yes,1,Graduate,No,3500,3077,160.0,360.0,1.0,Semiurban,52,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
40,53,LP001298,Male,Yes,2,Graduate,No,4116,1000,30.0,180.0,1.0,Urban,53,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0
41,54,LP001312,Male,Yes,0,Not Graduate,Yes,5293,0,92.0,360.0,1.0,Urban,54,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
42,55,LP001313,Male,No,0,Graduate,No,2750,0,130.0,360.0,0.0,Urban,55,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
43,56,LP001317,Female,No,0,Not Graduate,No,4402,0,130.0,360.0,1.0,Rural,56,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
44,57,LP001321,Male,Yes,2,Graduate,No,3613,3539,134.0,180.0,1.0,Semiurban,57,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
45,58,LP001323,Female,Yes,2,Graduate,No,2779,3664,176.0,360.0,0.0,Semiurban,58,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
46,59,LP001324,Male,Yes,3+,Graduate,No,4720,0,90.0,180.0,1.0,Semiurban,59,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
47,60,LP001332,Male,Yes,0,Not Graduate,No,2415,1721,110.0,360.0,1.0,Semiurban,60,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1
48,61,LP001335,Male,Yes,0,Graduate,Yes,7016,292,125.0,360.0,1.0,Urban,61,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1
49,62,LP001338,Female,No,2,Graduate,No,4968,0,189.0,360.0,1.0,Semiurban,62,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0
50,63,LP001347,Female,No,0,Graduate,No,2101,1500,108.0,360.0,0.0,Rural,64,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
51,64,LP001348,Male,Yes,3+,Not Graduate,No,4490,0,125.0,360.0,1.0,Urban,65,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0
52,65,LP001351,Male,Yes,0,Graduate,No,2917,3583,138.0,360.0,1.0,Semiurban,66,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
53,66,LP001352,Male,Yes,0,Not Graduate,No,4700,0,135.0,360.0,0.0,Semiurban,67,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
54,67,LP001358,Male,Yes,0,Graduate,No,3445,0,130.0,360.0,0.0,Semiurban,68,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
55,68,LP001359,Male,Yes,0,Graduate,No,7666,0,187.0,360.0,1.0,Semiurban,69,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
56,69,LP001361,Male,Yes,0,Graduate,No,2458,5105,188.0,360.0,0.0,Rural,70,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1
57,71,LP001368,Male,No,0,Graduate,No,4463,0,65.0,360.0,1.0,Semiurban,71,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1
58,73,LP001380,Male,Yes,0,Graduate,Yes,3900,2094,232.0,360.0,1.0,Rural,72,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1
59,74,LP001386,Male,Yes,0,Not Graduate,No,4750,3583,144.0,360.0,1.0,Semiurban,74,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1
60,75,LP001400,Male,No,0,Graduate,No,3583,3435,155.0,360.0,1.0,Urban,75,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0
61,76,LP001407,Male,Yes,0,Graduate,No,3189,2367,186.0,360.0,1.0,Urban,76,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0
62,77,LP001413,Male,No,0,Graduate,Yes,6356,0,50.0,360.0,1.0,Rural,77,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
63,79,LP001419,Female,Yes,0,Graduate,No,7950,0,185.0,360.0,1.0,Urban,78,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0
64,80,LP001420,Male,Yes,3+,Graduate,No,3829,1103,163.0,360.0,0.0,Urban,80,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1
65,81,LP001428,Male,Yes,3+,Graduate,No,72529,0,360.0,360.0,1.0,Urban,82,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0
66,82,LP001445,Male,Yes,2,Not Graduate,No,4136,0,149.0,480.0,0.0,Rural,84,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
67,83,LP001446,Male,Yes,0,Graduate,No,8449,0,257.0,360.0,1.0,Rural,85,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1
