,Loan_ID,Unnamed: 1,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount,Gender_Female,Gender_Male,Gender_nan,Married_No,Married_Yes,Married_nan,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Dependents_nan,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Self_Employed_nan,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,LP001002,,Male,No,0,Graduate,No,5849,0.0,360.0,1.0,Urban,Y,,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,LP001005,,Male,Yes,0,Graduate,Yes,3000,0.0,360.0,1.0,Urban,Y,66.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
2,LP001006,,Male,Yes,0,Not Graduate,No,2583,2358.0,360.0,1.0,Urban,Y,120.0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
3,LP001008,,Male,No,0,Graduate,No,6000,0.0,360.0,1.0,Urban,Y,141.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
4,LP001011,,Male,Yes,2,Graduate,Yes,5417,4196.0,360.0,1.0,Urban,Y,267.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
5,LP001013,,Male,Yes,0,Not Graduate,No,2333,1516.0,360.0,1.0,Urban,Y,95.0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
6,LP001018,,Male,Yes,2,Graduate,No,4006,1526.0,360.0,1.0,Urban,Y,168.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
7,LP001024,,Male,Yes,2,Graduate,No,3200,700.0,360.0,1.0,Urban,Y,70.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
8,LP001027,,Male,Yes,2,Graduate,,2500,1840.0,360.0,1.0,Urban,Y,109.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
9,LP001028,,Male,Yes,2,Graduate,No,3073,8106.0,360.0,1.0,Urban,Y,200.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
