ApplicantIncome,CoapplicantIncome,Credit_History,Female,Male,Gender_nan,Notmarried,Married,0Dependent,1Dependent,2Dependent,3+Dependent,Graduate,Not grad,Notselfemp,Selfempl,Rural,Semiurban,Urban,LoanAmount
5849,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,
3000,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,66
2583,2358,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,120
6000,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,141
5417,4196,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,267
2333,1516,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,95
4006,1526,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,168
3200,700,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,70
2500,1840,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,109
3073,8106,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,200
1299,1086,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,17
4950,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,125
3596,0,,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,100
2600,3500,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,115
5955,5625,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,315
9560,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,191
2799,2253,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,122
4226,1040,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,110
3750,2083,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,120
3500,1667,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,114
2275,2067,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,
3667,1459,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,144
4166,7210,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,184
3748,1668,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,110
1800,1213,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,47
2400,0,,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,75
3941,2336,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,134
4695,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,96
3410,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,88
5649,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,44
5821,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,144
4000,2275,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,144
1928,1644,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,100
3086,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,120
2708,1167,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,97
2132,1591,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,96
8080,2250,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,180
3357,2859,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,144
2500,3796,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,120
3029,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,99
10750,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,312
7100,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,125
3208,3066,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,172
1875,1875,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,97
3500,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,81
5266,1774,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,187
3333,2166,,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,130
3846,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,111
2395,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,
3988,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,50
2366,2531,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,136
3333,2000,,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,99
2500,2118,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,104
8566,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,210
5695,4167,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,175
2958,2900,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,131
6250,5654,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,188
3273,1820,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,81
4133,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,122
3620,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,25
2484,2302,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,137
1977,997,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,50
4188,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,115
1759,3541,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,131
4288,3263,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,133
4843,3806,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,151
13650,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,
4652,3583,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,
3816,754,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,160
3052,1030,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,100
11417,1126,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,225
2071,754,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,94
5316,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,136
2929,2333,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,139
7451,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,
5050,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,118
14583,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,185
3167,2283,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,154
2214,1398,,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,85
10408,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,259
5667,2667,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,180
4166,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,44
2137,8980,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,137
2957,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,81
4300,2014,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,194
3692,0,,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,93
23803,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,370
3865,1640,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,
20166,0,,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,650
2014,1929,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,74
2718,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,70
3459,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,25
4895,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,102
3316,3500,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,88
5417,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,168
6950,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,175
2698,2034,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,122
