Loan_ID,,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount
LP001002,,Male,No,0,Graduate,No,5849,0,360,1,Urban,Y,
LP001005,,Male,Yes,0,Graduate,Yes,3000,0,360,1,Urban,Y,66
LP001006,,Male,Yes,0,Not Graduate,No,2583,2358,360,1,Urban,Y,120
LP001008,,Male,No,0,Graduate,No,6000,0,360,1,Urban,Y,141
LP001011,,Male,Yes,2,Graduate,Yes,5417,4196,360,1,Urban,Y,267
LP001013,,Male,Yes,0,Not Graduate,No,2333,1516,360,1,Urban,Y,95
LP001018,,Male,Yes,2,Graduate,No,4006,1526,360,1,Urban,Y,168
LP001024,,Male,Yes,2,Graduate,No,3200,700,360,1,Urban,Y,70
LP001027,,Male,Yes,2,Graduate,,2500,1840,360,1,Urban,Y,109
LP001028,,Male,Yes,2,Graduate,No,3073,8106,360,1,Urban,Y,200
LP001030,,Male,Yes,2,Graduate,No,1299,1086,120,1,Urban,Y,17
LP001032,,Male,No,0,Graduate,No,4950,0,360,1,Urban,Y,125
LP001034,,Male,No,1,Not Graduate,No,3596,0,240,,Urban,Y,100
LP001041,,Male,Yes,0,Graduate,,2600,3500,,1,Urban,Y,115
LP001046,,Male,Yes,1,Graduate,No,5955,5625,360,1,Urban,Y,315
LP001066,,Male,Yes,0,Graduate,Yes,9560,0,360,1,Semiurban,Y,191
LP001068,,Male,Yes,0,Graduate,No,2799,2253,360,1,Semiurban,Y,122
LP001073,,Male,Yes,2,Not Graduate,No,4226,1040,360,1,Urban,Y,110
LP001087,,Female,No,2,Graduate,,3750,2083,360,1,Semiurban,Y,120
LP001098,,Male,Yes,0,Graduate,No,3500,1667,360,1,Semiurban,Y,114
LP001106,,Male,Yes,0,Graduate,No,2275,2067,360,1,Urban,Y,
LP001112,,Female,Yes,0,Graduate,No,3667,1459,360,1,Semiurban,Y,144
LP001114,,Male,No,0,Graduate,No,4166,7210,360,1,Urban,Y,184
LP001116,,Male,No,0,Not Graduate,No,3748,1668,360,1,Semiurban,Y,110
LP001120,,Male,No,0,Graduate,No,1800,1213,360,1,Urban,Y,47
LP001123,,Male,Yes,0,Graduate,No,2400,0,360,,Urban,Y,75
LP001131,,Male,Yes,0,Graduate,No,3941,2336,360,1,Semiurban,Y,134
LP001136,,Male,Yes,0,Not Graduate,Yes,4695,0,,1,Urban,Y,96
LP001137,,Female,No,0,Graduate,No,3410,0,,1,Urban,Y,88
LP001138,,Male,Yes,1,Graduate,No,5649,0,360,1,Urban,Y,44
LP001144,,Male,Yes,0,Graduate,No,5821,0,360,1,Urban,Y,144
LP001151,,Female,No,0,Graduate,No,4000,2275,360,1,Semiurban,Y,144
LP001155,,Female,Yes,0,Not Graduate,No,1928,1644,360,1,Semiurban,Y,100
LP001157,,Female,No,0,Graduate,No,3086,0,360,1,Semiurban,Y,120
LP001194,,Male,Yes,2,Graduate,No,2708,1167,360,1,Semiurban,Y,97
LP001195,,Male,Yes,0,Graduate,No,2132,1591,360,1,Semiurban,Y,96
LP001198,,Male,Yes,1,Graduate,No,8080,2250,360,1,Urban,Y,180
LP001199,,Male,Yes,2,Not Graduate,No,3357,2859,360,1,Urban,Y,144
LP001205,,Male,Yes,0,Graduate,No,2500,3796,360,1,Urban,Y,120
LP001206,,Male,Yes,3+,Graduate,No,3029,0,360,1,Urban,Y,99
LP001233,,Male,Yes,1,Graduate,No,10750,0,360,1,Urban,Y,312
LP001238,,Male,Yes,3+,Not Graduate,Yes,7100,0,60,1,Urban,Y,125
LP001243,,Male,Yes,0,Graduate,No,3208,3066,360,1,Urban,Y,172
LP001245,,Male,Yes,2,Not Graduate,Yes,1875,1875,360,1,Semiurban,Y,97
LP001248,,Male,No,0,Graduate,No,3500,0,300,1,Semiurban,Y,81
LP001253,,Male,Yes,3+,Graduate,Yes,5266,1774,360,1,Semiurban,Y,187
LP001264,,Male,Yes,3+,Not Graduate,Yes,3333,2166,360,,Semiurban,Y,130
LP001265,,Female,No,0,Graduate,No,3846,0,360,1,Semiurban,Y,111
LP001266,,Male,Yes,1,Graduate,Yes,2395,0,360,1,Semiurban,Y,
LP001275,,Male,Yes,1,Graduate,No,3988,0,240,1,Urban,Y,50
LP001279,,Male,No,0,Graduate,No,2366,2531,360,1,Semiurban,Y,136
LP001280,,Male,Yes,2,Not Graduate,No,3333,2000,360,,Semiurban,Y,99
LP001282,,Male,Yes,0,Graduate,No,2500,2118,360,1,Semiurban,Y,104
LP001289,,Male,No,0,Graduate,No,8566,0,360,1,Urban,Y,210
LP001310,,Male,Yes,0,Graduate,No,5695,4167,360,1,Semiurban,Y,175
LP001316,,Male,Yes,0,Graduate,No,2958,2900,360,1,Semiurban,Y,131
LP001318,,Male,Yes,2,Graduate,No,6250,5654,180,1,Semiurban,Y,188
LP001319,,Male,Yes,2,Not Graduate,No,3273,1820,360,1,Urban,Y,81
LP001322,,Male,No,0,Graduate,No,4133,0,360,1,Semiurban,Y,122
LP001325,,Male,No,0,Not Graduate,No,3620,0,120,1,Semiurban,Y,25
LP001327,,Female,Yes,0,Graduate,No,2484,2302,360,1,Semiurban,Y,137
LP001333,,Male,Yes,0,Graduate,No,1977,997,360,1,Semiurban,Y,50
LP001334,,Male,Yes,0,Not Graduate,No,4188,0,180,1,Semiurban,Y,115
LP001343,,Male,Yes,0,Graduate,No,1759,3541,360,1,Semiurban,Y,131
LP001345,,Male,Yes,2,Not Graduate,No,4288,3263,180,1,Urban,Y,133
LP001349,,Male,No,0,Graduate,No,4843,3806,360,1,Semiurban,Y,151
LP001350,,Male,Yes,,Graduate,No,13650,0,360,1,Urban,Y,
LP001356,,Male,Yes,0,Graduate,No,4652,3583,360,1,Semiurban,Y,
LP001357,,Male,,,Graduate,No,3816,754,360,1,Urban,Y,160
LP001367,,Male,Yes,1,Graduate,No,3052,1030,360,1,Urban,Y,100
LP001369,,Male,Yes,2,Graduate,No,11417,1126,360,1,Urban,Y,225
LP001384,,Male,Yes,3+,Not Graduate,No,2071,754,480,1,Semiurban,Y,94
LP001385,,Male,No,0,Graduate,No,5316,0,360,1,Urban,Y,136
LP001387,,Female,Yes,0,Graduate,,2929,2333,360,1,Semiurban,Y,139
LP001392,,Female,No,1,Graduate,Yes,7451,0,360,1,Semiurban,Y,
LP001398,,Male,No,0,Graduate,,5050,0,360,1,Semiurban,Y,118
LP001401,,Male,Yes,1,Graduate,No,14583,0,180,1,Rural,Y,185
LP001404,,Female,Yes,0,Graduate,No,3167,2283,360,1,Semiurban,Y,154
LP001405,,Male,Yes,1,Graduate,No,2214,1398,360,,Urban,Y,85
LP001422,,Female,No,0,Graduate,No,10408,0,360,1,Urban,Y,259
LP001426,,Male,Yes,,Graduate,No,5667,2667,360,1,Rural,Y,180
LP001430,,Female,No,0,Graduate,No,4166,0,360,1,Semiurban,Y,44
LP001431,,Female,No,0,Graduate,No,2137,8980,360,0,Semiurban,Y,137
LP001432,,Male,Yes,2,Graduate,No,2957,0,360,1,Semiurban,Y,81
LP001439,,Male,Yes,0,Not Graduate,No,4300,2014,360,1,Rural,Y,194
LP001443,,Female,No,0,Graduate,No,3692,0,360,,Rural,Y,93
LP001448,,,Yes,3+,Graduate,No,23803,0,360,1,Rural,Y,370
LP001449,,Male,No,0,Graduate,No,3865,1640,360,1,Rural,Y,
LP001469,,Male,No,0,Graduate,Yes,20166,0,480,,Urban,Y,650
LP001473,,Male,No,0,Graduate,No,2014,1929,360,1,Urban,Y,74
LP001478,,Male,No,0,Graduate,No,2718,0,360,1,Semiurban,Y,70
