loan_id,is_first_loan,fully_repaid_previous_loans,currently_repaying_other_loans,total_credit_card_limit,avg_percentage_credit_card_limit_used_last_year,saving_amount,checking_amount,is_employed,yearly_salary,age,dependent_number,loan_purpose,date,loan_granted,loan_repaid
135565,1,,,6900,0.82,2085,3422,1,24500,38,8,other,2012-07-16,1,1.0
423171,1,,,6100,0.53,6163,5298,1,29500,24,1,other,2012-11-07,1,1.0
991294,0,1.0,0.0,7000,0.52,2575,2917,1,58900,33,3,emergency_funds,2012-12-04,1,1.0
875332,0,1.0,0.0,4300,0.83,722,892,1,5400,32,7,business,2012-01-20,1,1.0
954215,1,,,7000,0.64,2113,5589,0,0,40,2,business,2012-08-09,1,1.0
778076,1,,,4900,0.6,460,4297,1,26600,53,3,business,2012-05-10,1,1.0
73441,0,1.0,0.0,3900,0.77,989,1547,1,45700,29,4,emergency_funds,2012-11-08,1,1.0
249377,1,,,5500,0.59,1154,2731,1,9300,51,2,business,2012-09-18,1,1.0
387504,0,1.0,0.0,5300,0.69,1172,3323,1,32500,30,1,investment,2012-10-03,1,1.0
496672,1,,,4500,0.65,3981,2757,1,53800,35,1,business,2012-10-25,1,1.0
873777,1,,,5100,0.3,4755,7206,1,43100,29,1,home,2012-12-21,1,1.0
277463,1,,,8000,0.47,3048,1795,1,52400,64,8,business,2012-09-14,1,1.0
378620,1,,,5900,0.84,1781,919,1,39300,39,3,business,2012-11-28,1,1.0
216233,0,1.0,0.0,4100,0.99,2678,4146,1,67200,49,7,investment,2012-10-31,1,1.0
666770,0,1.0,0.0,2700,0.97,4674,2525,1,19600,38,2,emergency_funds,2012-08-01,1,1.0
93216,1,,,6700,0.56,6520,909,1,45800,43,5,home,2012-03-20,1,1.0
223013,0,1.0,0.0,6200,0.75,510,1105,1,5000,46,1,emergency_funds,2012-09-27,1,1.0
196917,0,1.0,0.0,9100,0.62,2738,4538,1,54400,63,3,investment,2012-12-07,1,1.0
329106,1,,,3900,0.56,4299,3063,1,29000,27,2,other,2012-07-31,1,1.0
17908,1,,,1400,0.63,489,3528,1,70800,28,1,emergency_funds,2012-03-29,1,1.0
520296,1,,,4700,0.8,483,2083,1,37800,39,2,business,2012-10-11,1,1.0
858386,1,,,6100,0.38,1398,1147,1,26900,34,2,investment,2012-06-04,1,1.0
967245,0,1.0,0.0,4900,0.72,1745,6216,1,39100,46,3,investment,2012-07-26,1,1.0
459627,1,,,8300,0.58,779,7507,1,5600,44,3,home,2012-04-24,1,1.0
993643,1,,,1700,0.92,2785,4372,1,13200,21,1,business,2012-09-25,1,1.0
375612,0,0.0,0.0,7300,0.84,1181,5638,1,24700,40,2,investment,2012-05-03,1,1.0
992519,1,,,5600,0.91,272,1320,1,22300,38,3,business,2012-10-19,1,1.0
820126,0,1.0,0.0,5700,0.93,2229,1826,1,72400,45,7,investment,2012-09-11,1,1.0
967660,0,1.0,0.0,4300,0.81,2368,4491,1,30900,41,1,other,2012-11-02,1,1.0
634568,1,,,5500,0.5,504,1183,1,22700,26,2,business,2012-02-02,1,1.0
221972,1,,,6500,0.8,1250,6682,1,54200,24,1,home,2012-09-10,1,1.0
345793,1,,,2900,0.95,1072,4774,1,59800,51,7,other,2012-09-25,1,1.0
516288,0,1.0,0.0,6400,0.88,3694,1744,1,47700,24,6,emergency_funds,2012-03-15,1,1.0
239289,0,1.0,0.0,2600,0.87,1937,3554,1,33400,50,8,business,2012-08-09,1,1.0
912090,0,1.0,0.0,4500,0.39,5612,7074,1,32800,58,8,investment,2012-05-22,1,1.0
970501,0,1.0,0.0,8000,0.75,779,5094,1,50000,40,0,business,2012-01-23,1,1.0
168290,1,,,5100,0.9,2720,1771,1,30600,42,5,home,2012-10-18,1,1.0
775136,0,1.0,0.0,7200,0.62,410,4485,1,47000,34,0,investment,2012-11-22,1,1.0
394195,0,1.0,0.0,5500,0.54,3497,7566,1,22800,29,2,home,2012-05-04,1,1.0
443063,0,1.0,0.0,6800,0.98,94,4694,1,70400,45,0,emergency_funds,2012-06-11,1,1.0
880848,0,1.0,0.0,5000,0.61,888,3079,1,35000,47,2,business,2012-02-22,1,1.0
79755,0,1.0,0.0,2200,0.95,1567,1923,1,31800,41,2,business,2012-12-07,1,1.0
940796,1,,,4600,0.49,2810,6755,1,50900,44,8,investment,2012-05-04,1,1.0
937156,1,,,5000,0.77,2484,3197,1,44900,25,8,investment,2012-11-20,1,1.0
46605,0,1.0,0.0,9400,0.89,1117,3364,1,51000,20,3,home,2012-05-15,1,1.0
587884,1,,,6800,0.88,968,1853,1,13500,34,4,investment,2012-10-25,1,1.0
113835,1,,,3100,0.68,4170,5822,1,15700,52,2,emergency_funds,2012-07-26,1,1.0
364171,0,1.0,0.0,3000,0.58,22,2168,1,47300,58,2,home,2012-01-19,1,1.0
602556,1,,,8000,0.7,4402,9778,1,29300,40,8,investment,2012-02-14,1,1.0
791394,0,1.0,0.0,5000,0.69,2097,8038,1,31900,32,4,emergency_funds,2012-02-10,1,1.0
502882,1,,,5500,0.79,789,4849,1,42200,55,2,home,2012-05-21,1,1.0
962128,1,,,4100,0.92,5466,2982,1,49200,34,2,business,2012-11-27,1,1.0
413354,1,,,4600,0.66,4767,5959,1,35100,63,8,emergency_funds,2012-11-21,1,1.0
361012,1,,,11400,0.56,1448,4982,1,36000,49,2,investment,2012-06-27,1,1.0
489903,1,,,2700,0.96,958,3804,1,29400,45,2,home,2012-12-21,1,1.0
851959,0,1.0,0.0,4100,0.95,6613,7059,1,35500,32,1,investment,2012-12-17,1,1.0
450687,0,1.0,1.0,5800,0.86,2211,5168,1,31300,19,2,business,2012-06-21,1,1.0
610721,1,,,3500,0.69,402,2418,1,37500,34,1,investment,2012-01-26,1,1.0
193290,0,1.0,1.0,1700,0.92,3098,892,0,0,35,3,investment,2012-03-13,1,1.0
211274,0,1.0,0.0,3900,0.71,5880,4152,1,36400,45,4,emergency_funds,2012-11-29,1,1.0
621002,0,1.0,0.0,8600,0.77,3656,3140,1,38400,43,7,business,2012-01-25,1,1.0
887658,1,,,3700,0.66,2616,7127,1,34600,46,4,emergency_funds,2012-10-24,1,1.0
42329,1,,,2600,0.46,4366,5185,1,44100,35,1,home,2012-08-27,1,1.0
916995,0,1.0,1.0,1500,0.52,5521,2518,1,61100,64,0,home,2012-07-10,1,1.0
490206,1,,,3700,0.62,2213,2789,1,42800,33,2,emergency_funds,2012-03-08,1,1.0
426868,1,,,2800,0.51,8314,1906,1,47000,55,6,home,2012-08-02,1,1.0
830636,0,1.0,0.0,5400,0.5,212,3520,1,31700,30,2,investment,2012-07-09,1,1.0
932637,0,1.0,0.0,5000,0.25,385,2751,1,44400,71,2,business,2012-06-14,1,1.0
210761,1,,,5500,0.61,286,2839,1,16800,35,2,emergency_funds,2012-05-30,1,1.0
496174,1,,,4200,0.92,3071,5896,1,39600,69,2,home,2012-07-04,1,1.0
59936,1,,,3100,0.54,1137,4951,1,29000,48,5,home,2012-07-31,1,1.0
563718,1,,,2600,0.54,1235,1152,1,24900,52,2,other,2012-07-16,1,1.0
96440,1,,,2700,0.74,3750,1675,1,50900,39,8,business,2012-04-26,1,1.0
448797,1,,,5700,0.38,5192,4875,1,38100,40,3,business,2012-04-24,1,1.0
869712,1,,,5700,0.74,3493,3020,1,44400,52,2,home,2012-08-16,1,1.0
406732,0,1.0,0.0,5100,0.63,4234,1738,1,40600,60,7,other,2012-01-27,1,1.0
580431,1,,,5800,0.6,2797,4241,1,41000,59,4,home,2012-07-03,1,1.0
973015,1,,,8900,0.75,6758,5165,1,49900,33,3,business,2012-02-02,1,1.0
55306,1,,,4800,0.57,3003,3363,1,60800,61,3,home,2012-02-21,1,1.0
73527,1,,,4800,0.34,3092,10109,1,31600,27,2,business,2012-11-21,1,1.0
57145,0,1.0,1.0,6100,0.52,3582,997,1,25800,37,1,business,2012-02-21,1,1.0
951792,1,,,6700,0.72,1075,189,1,35100,37,2,emergency_funds,2012-09-24,1,1.0
126408,1,,,8100,0.39,3105,1478,1,37600,34,1,business,2012-05-08,1,1.0
558211,1,,,4200,0.72,1838,3261,1,40200,45,3,business,2012-08-08,1,1.0
909030,1,,,3100,0.76,4441,6011,1,28400,50,4,investment,2012-11-21,1,1.0
323542,0,1.0,0.0,6600,0.97,2086,922,1,16600,59,0,other,2012-06-26,1,1.0
524569,1,,,5500,0.89,2522,1581,1,44400,28,2,investment,2012-03-13,1,1.0
599871,0,1.0,0.0,5400,0.69,3862,20,1,22100,62,3,investment,2012-11-30,1,1.0
945236,0,1.0,1.0,4100,0.52,3199,3310,1,62300,40,4,investment,2012-10-19,1,1.0
661028,1,,,4600,0.48,2795,5921,1,78300,23,6,other,2012-02-21,1,1.0
276576,0,1.0,0.0,5200,0.95,1830,2549,1,42900,26,8,investment,2012-10-12,1,1.0
109680,0,1.0,0.0,4100,0.84,388,6563,1,27100,39,1,investment,2012-07-31,1,1.0
651455,1,,,5500,0.29,2873,1988,1,27900,56,6,home,2012-04-12,1,1.0
895279,0,1.0,0.0,4600,0.53,4514,2917,1,23600,38,2,home,2012-12-12,1,1.0
856836,1,,,6000,0.39,2016,2517,1,21500,33,2,investment,2012-09-07,1,1.0
538669,0,1.0,0.0,9100,0.87,3884,3023,1,46800,31,2,other,2012-09-17,1,1.0
491678,0,1.0,0.0,3700,0.65,2064,4045,1,49400,50,3,business,2012-12-04,1,1.0
589444,1,,,5900,0.67,4606,2588,1,56100,54,5,emergency_funds,2012-09-04,1,1.0
738040,1,,,2700,0.6,624,1904,1,28800,50,7,home,2012-01-04,1,1.0
475626,1,,,5000,0.67,3001,163,1,54500,47,8,investment,2012-03-08,1,1.0
918691,0,1.0,0.0,6900,0.62,4359,2460,1,22500,50,3,home,2012-11-14,1,1.0
81944,0,1.0,0.0,5000,0.85,1122,3118,1,21300,22,7,investment,2012-01-03,1,1.0
943667,0,1.0,0.0,6400,0.69,2882,3805,1,47300,37,1,other,2012-04-04,1,1.0
610563,1,,,7600,0.69,3883,7574,1,1900,28,8,emergency_funds,2012-11-09,1,1.0
363538,1,,,6700,0.73,164,1515,1,35000,28,3,business,2012-08-22,1,1.0
48024,0,1.0,0.0,7100,0.76,1953,4153,1,40600,33,8,investment,2012-08-28,1,1.0
424773,1,,,6400,0.65,144,5667,1,31900,51,2,investment,2012-12-24,1,1.0
